step,position
627, 0.016793
628, 0.016373
629, 0.015964
630, 0.015564
631, 0.015175
632, 0.014795
633, 0.014425
634, 0.014064
635, 0.013713
636, 0.013369
637, 0.013035
638, 0.012709
639, 0.012391
640, 0.012081
641, 0.011779
642, 0.011484
643, 0.011197
644, 0.010917
645, 0.010644
646, 0.010377
647, 0.010118
648, 0.009865
649, 0.009618
650, 0.009377
651, 0.009143
652, 0.008914
653, 0.008691
654, 0.008474
655, 0.008262
656, 0.008055
657, 0.007853
658, 0.007657
659, 0.007465
660, 0.007279
661, 0.007097
662, 0.006919
663, 0.006746
664, 0.006577
665, 0.006413
666, 0.006252
667, 0.006096
668, 0.005943
669, 0.005795
670, 0.005650
671, 0.005508
672, 0.005371
673, -0.007307
674, -0.019828
675, -0.032193
676, -0.044401
677, -0.056452
678, -0.068347
679, -0.080085
680, -0.091667
681, -0.103091
682, -0.114359
683, -0.125470
684, -0.136425
685, -0.147222
686, -0.157863
687, -0.168347
688, -0.178674
689, -0.188844
690, -0.198857
691, -0.208714
692, -0.218413
693, -0.227956
694, -0.237342
695, -0.246571
696, -0.255643
697, -0.254760
698, -0.253811
699, -0.252705
700, -0.251438
701, -0.250009
702, -0.248420
703, -0.246671
704, -0.244763
705, -0.242697
706, -0.240472
707, -0.238089
708, -0.235548
709, -0.232850
710, -0.229994
711, -0.226981
712, -0.223811
713, -0.235707
714, -0.247447
715, -0.259029
716, -0.257547
717, -0.256041
718, -0.254378
719, -0.252552
720, -0.250563
721, -0.251272
722, -0.251052
723, -0.250698
724, -0.250166
725, -0.249461
726, -0.248584
727, -0.247540
728, -0.246330
729, -0.244956
730, -0.243420
731, -0.241722
732, -0.239864
733, -0.237847
734, -0.235670
735, -0.233334
736, -0.230840
737, -0.228188
738, -0.225378
739, -0.222411
740, -0.219286
741, -0.216004
742, -0.212564
743, -0.208968
744, -0.205214
745, -0.201303
746, -0.197235
747, -0.193011
748, -0.188629
749, -0.184090
750, -0.179490
751, -0.175000
752, -0.170622
753, -0.166353
